,decimalLatitude,decimalLongitude,elevation,date
478,46.88341,7.54556,519.0,2001-01-01 00:00:00
480,46.88988,7.54104,519.0,2001-01-01 00:00:00
482,46.88928,7.54566,520.0,2001-01-01 00:00:00
484,46.88895,7.54569,520.0,2001-01-01 00:00:00
485,46.89006,7.54102,519.0,2001-01-01 00:00:00
487,46.88936,7.54548,520.0,2001-01-01 00:00:00
495,47.33237,8.72781,450.0,2001-01-01 00:00:00
496,47.33237,8.72782,445.5,2001-01-01 00:00:00
497,46.80678,8.67409,500.0,2001-08-01 00:00:00
498,46.88861,7.54691,520.0,2001-01-01 00:00:00
499,46.89606,7.53469,519.0,2001-01-01 00:00:00
500,46.88834,7.54701,520.0,2001-01-01 00:00:00
501,46.88942,7.54511,520.0,2001-01-01 00:00:00
502,46.88934,7.54544,520.0,2001-01-01 00:00:00
503,46.88843,7.54697,520.0,2001-01-01 00:00:00
504,46.89533,7.53529,519.0,2001-01-01 00:00:00
505,46.88825,7.54727,520.0,2001-01-01 00:00:00
506,46.88942,7.54537,520.0,2001-01-01 00:00:00
507,46.88837,7.54712,520.0,2001-01-01 00:00:00
508,46.88959,7.54505,520.0,2001-01-01 00:00:00
509,46.8831,7.5454,519.0,2001-01-01 00:00:00
510,46.88832,7.54719,520.0,2001-01-01 00:00:00
511,46.88857,7.54697,520.0,2001-01-01 00:00:00
512,46.89484,7.53552,518.0,2001-01-01 00:00:00
513,46.88733,7.53346,516.5,2001-01-01 00:00:00
514,46.88703,7.54337,518.0,2001-01-01 00:00:00
515,46.88609,7.54491,518.5,2001-01-01 00:00:00
516,46.89182,7.53908,519.0,2001-01-01 00:00:00
517,46.88999,7.54194,520.0,2001-01-01 00:00:00
518,46.89092,7.53987,519.0,2001-01-01 00:00:00
519,46.89192,7.53918,518.5,2001-01-01 00:00:00
520,46.89092,7.53959,519.0,2001-01-01 00:00:00
521,46.89097,7.53987,519.0,2001-01-01 00:00:00
522,46.92589,7.47113,508.0,2001-01-01 00:00:00
523,46.89096,7.53962,519.0,2001-01-01 00:00:00
524,46.88875,7.54456,520.0,2001-01-01 00:00:00
525,46.88845,7.54479,519.0,2001-01-01 00:00:00
526,46.8912,7.53905,518.5,2001-01-01 00:00:00
527,46.88827,7.54689,520.0,2001-01-01 00:00:00
528,46.89009,7.54191,520.0,2001-01-01 00:00:00
529,46.89011,7.54224,520.0,2001-01-01 00:00:00
530,46.8911,7.53934,519.0,2001-01-01 00:00:00
531,46.89008,7.54208,520.0,2001-01-01 00:00:00
532,46.89009,7.54204,520.0,2001-01-01 00:00:00
533,46.89103,7.5396,519.0,2001-01-01 00:00:00
534,46.89086,7.53976,519.0,2001-01-01 00:00:00
535,47.14974,6.84056,610.0,2001-01-01 00:00:00
547,46.99203,6.92672,460.0,2001-01-01 00:00:00
548,47.18965,7.20706,620.0,2001-06-26 00:00:00
552,47.04202,7.14915,450.0,2001-06-15 00:00:00
557,46.50957,6.6165,372.5,2002-09-03 00:00:00
558,47.081,8.72417,970.0,2002-06-11 00:00:00
559,47.28588,8.51915,673.0,2002-05-30 00:00:00
560,47.65497,9.04931,633.0,2002-07-31 00:00:00
561,47.33246,8.72796,446.0,2002-05-19 00:00:00
562,47.41832,8.87498,728.0,2002-08-01 00:00:00
563,47.28588,8.51916,678.0,2002-05-01 00:00:00
564,47.34873,8.71768,464.0,2002-05-19 00:00:00
565,47.33954,8.7488,524.0,2002-05-19 00:00:00
566,46.79804,7.57967,542.5,2002-01-01 00:00:00
567,46.7858,7.59984,546.0,2002-01-01 00:00:00
568,46.80833,7.57849,545.0,2002-01-01 00:00:00
569,46.8088,7.57853,544.5,2002-01-01 00:00:00
570,46.78429,7.5984,549.0,2002-01-01 00:00:00
571,46.80921,7.57817,544.0,2002-01-01 00:00:00
572,46.80793,7.57253,540.0,2002-01-01 00:00:00
573,46.78691,7.59843,546.0,2002-01-01 00:00:00
574,46.80876,7.57848,545.0,2002-01-01 00:00:00
575,46.78444,7.5982,549.0,2002-01-01 00:00:00
576,46.80928,7.57817,544.0,2002-01-01 00:00:00
577,46.7981,7.57581,540.0,2002-01-01 00:00:00
579,46.81275,7.5706,539.0,2002-01-01 00:00:00
580,46.80644,7.57973,544.0,2002-01-01 00:00:00
581,46.79655,7.57963,547.0,2002-01-01 00:00:00
582,46.80545,7.57964,544.0,2002-01-01 00:00:00
